Debug:  F:() L:(0) 	(2022-05-27 15:35:37) 	App begin
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-11"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-12"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  20  and  9
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-13"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  30  and  18
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-04-30"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-01"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-02"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-03"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-04"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-05"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-06"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 15:35:50) 	The max top value is =  20
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-04-30"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-01"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-02"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-03"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-04"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-05"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	the time is =  "2022-05-06"  and  1
Debug:  F:() L:(0) 	(2022-05-27 15:35:50) 	The result of it is =  0  and  0
