Debug:  F:() L:(0) 	(2022-05-27 18:31:51) 	App begin
Warning:  F:(qrc:/main.qml) L:(116) 	(2022-05-27 18:32:24) 	qrc:/main.qml:116:31: QML PhoneLogin: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(116) 	(2022-05-27 18:32:27) 	qrc:/main.qml:116:31: QML PhoneLogin: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 18:32:37) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 18:32:37) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 18:32:37) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 18:32:37) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 18:32:37) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 18:32:37) 	read from db is =  5  and  1
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The result of it is =  35  and  24
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 18:32:37) 	The result of it is =  35  and  24
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 18:32:37) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 18:32:37) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-27 18:32:37) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-27 18:33:00) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	The word is =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "19649"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "/h?v/"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "1"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "26"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "{\"word_third\": [\"has\"], \"word_done\": [\"had\"], \"word_pl\": \"\", \"word_est\": \"\", \"word_ing\": [\"having\"], \"word_er\": \"\", \"word_past\": [\"had\"], \"word_er\": \"\"}"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-27 18:33:00) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(65) 	(2022-05-27 18:33:00) 	really??? =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	STAT TO VOICE
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	The string is =  "have"
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:00) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:00) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:00) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:00) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:00) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:00) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:00) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:00) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 18:33:00) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 18:33:00) 	context is =  ""
Warning:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(68) 	(2022-05-27 18:33:07) 	qrc:/qmls/Page/EditWordPage.qml:68: ReferenceError: failRec is not defined
Warning:  F:(qrc:/main.qml) L:(107) 	(2022-05-27 18:33:07) 	qrc:/main.qml:107:33: QML EditWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 18:33:07) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(127) 	(2022-05-27 18:33:10) 	test accent =  /h?v/
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(129) 	(2022-05-27 18:33:10) 	test mean =  v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  第三人称形式: has
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  过去分词形式: had
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  复数形式: 
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  最高级形式: 
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  现在分词形式: having
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 18:33:10) 	aaaa:  过去式: had
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(199) 	(2022-05-27 18:33:10) 	result is =  {"word_third": ["has"], "word_done": ["had"], "word_pl": "", "word_est": "", "word_ing": ["having"], "word_er": "", "word_past": ["had"], "word_er": ""}
Warning:  F:(qrc:/main.qml) L:(107) 	(2022-05-27 18:33:10) 	qrc:/main.qml:107:33: QML EditWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 18:33:10) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "19649"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "/h?v/"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "1"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "26"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "{\"word_third\": [\"has\"], \"word_done\": [\"had\"], \"word_pl\": \"\", \"word_est\": \"\", \"word_ing\": [\"having\"], \"word_er\": \"\", \"word_past\": [\"had\"], \"word_er\": \"\"}"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "324234"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:10) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:10) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:10) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:10) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(31) 	(2022-05-27 18:33:10) 	qrc:/qmls/Component/SearchEdit.qml:31: TypeError: Property 'pop' of object QQuickWindowQmlImpl_QML_51(0x26841ad28c0) is not a function
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "19649"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "have"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "/h?v/"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "1"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "26"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "{\"word_third\": [\"has\"], \"word_done\": [\"had\"], \"word_pl\": \"\", \"word_est\": \"\", \"word_ing\": [\"having\"], \"word_er\": \"\", \"word_past\": [\"had\"], \"word_er\": \"\"}"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "324234"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:10) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:10) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:10) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 18:33:10) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 18:33:10) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 18:33:10) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:10) 	is collect =  true
Warning:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(31) 	(2022-05-27 18:33:10) 	qrc:/qmls/Component/SearchEdit.qml:31: TypeError: Property 'pop' of object QQuickWindowQmlImpl_QML_51(0x26841ad28c0) is not a function
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:16) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(258) 	(2022-05-27 18:33:16) 	click the sc
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:17) 	is collect =  false
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(258) 	(2022-05-27 18:33:17) 	click the sc
Debug:  F:() L:(0) 	(2022-05-27 18:33:17) 	Table name is =  "allWords1"   and =  "have"
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 18:33:18) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(258) 	(2022-05-27 18:33:18) 	click the sc
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 18:33:20) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 18:33:23) 	collect table is =  "allWords1"
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(116) 	(2022-05-27 18:33:23) 	show sentence is =  veracity&n. 诚实，精确性，老实，说真实话
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 18:33:23) 	show sentence is =  veracity&n. 诚实，精确性，老实，说真实话
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 18:33:23) 	show sentence is =  have&v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 18:33:23) 	show sentence is =  headachy&adj. 头痛的；令人头痛的
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 18:33:23) 	show sentence is =  nailhead&n. 钉头；钉头装饰
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 18:33:23) 	show sentence is =  finagle&v. 欺骗；哄骗；欺瞒
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(22) 	(2022-05-27 18:33:23) 	load
